user_question,agent_response,resolution_status,category
Refund not yet received after 10 days.,"We have escalated to your bank, please wait 3 more days.",open,Refunds
How can I share feedback?,Use Feedback option in the app to submit suggestions.,closed,General
Why is my delivery delayed?,Delivery may be affected by traffic or weather conditions.,closed,Delivery
How do I change my email address?,Update your email from Account Settings > Personal Info.,open,Account
App keeps crashing.,Clear cache or reinstall the app.,open,Technical
Why is my delivery delayed?,Delivery may be affected by traffic or weather conditions.,closed,Delivery
How do I contact support?,"Reach us via chat, call helpline, or email support@company.com.",open,General
How do I change my email address?,Update your email from Account Settings > Personal Info.,closed,Account
Can I schedule delivery?,"Yes, choose a convenient slot at checkout.",closed,Delivery
How can I share feedback?,Use Feedback option in the app to submit suggestions.,open,General
My UPI payment failed but money deducted.,"Refund initiated, should reflect in 3-5 days.",closed,Payments
How can I share feedback?,Use Feedback option in the app to submit suggestions.,open,General
Website not loading.,Please check your internet connection.,closed,Technical
Do you provide GST invoices?,"Yes, GST invoices are available for eligible purchases.",closed,General
How do I track my order?,Go to My Orders and click Track Order for updates.,open,Orders
Can I use international cards?,Currently only domestic cards are supported.,closed,Payments
I cannot login to my account.,Reset password using 'Forgot Password' option.,closed,Account
Delivery partner didn’t arrive.,"We have reassigned your order, ETA 25 minutes.",open,Delivery
Payment keeps getting declined.,Please check with your bank or try another method.,closed,Payments
Can I delete my account permanently?,"Yes, go to Account Settings > Privacy and Security.",open,Account
Delivery partner didn’t arrive.,"We have reassigned your order, ETA 25 minutes.",closed,Delivery
Can I change delivery address after order?,"Yes, if the order is not yet shipped, you can update it.",open,Orders
How do I change my email address?,Update your email from Account Settings > Personal Info.,closed,Account
My order was cancelled automatically.,This can happen due to stock unavailability or payment issues.,closed,Orders
Refund not yet received after 10 days.,"We have escalated to your bank, please wait 3 more days.",open,Refunds
Payment keeps getting declined.,Please check with your bank or try another method.,open,Payments
I cannot login to my account.,Reset password using 'Forgot Password' option.,open,Account
Payment keeps getting declined.,Please check with your bank or try another method.,closed,Payments
How do I track my order?,Go to My Orders and click Track Order for updates.,closed,Orders
I cannot login to my account.,Reset password using 'Forgot Password' option.,closed,Account
How do I change my email address?,Update your email from Account Settings > Personal Info.,closed,Account
Can I schedule delivery?,"Yes, choose a convenient slot at checkout.",open,Delivery
Can I use international cards?,Currently only domestic cards are supported.,open,Payments
Unable to update the app.,Update via Play Store or App Store.,open,Technical
Delivery partner didn’t arrive.,"We have reassigned your order, ETA 25 minutes.",open,Delivery
Can I change delivery address after order?,"Yes, if the order is not yet shipped, you can update it.",closed,Orders
Refund credited to wrong account.,Refunds can only be credited to source account for security reasons.,open,Refunds
Website not loading.,Please check your internet connection.,open,Technical
My UPI payment failed but money deducted.,"Refund initiated, should reflect in 3-5 days.",closed,Payments
Can I use international cards?,Currently only domestic cards are supported.,closed,Payments
Delivery partner didn’t arrive.,"We have reassigned your order, ETA 25 minutes.",closed,Delivery
